851010549;38.75039;-9.202439;-0.1606129;0.6763218
851010552;38.74989;-9.202692;-0.1606173;0.6763132
851010555;38.75127;-9.19737;-0.1605244;0.6763372
851010560;38.75131;-9.19848;-0.1605438;0.6763379
851010568;38.75143;-9.201719;-0.1606003;0.6763401
851010576;38.7515;-9.202033;-0.1606058;0.6763412
851010583;38.75152;-9.203142;-0.1606251;0.6763417
851010586;38.75156;-9.203291;-0.1606277;0.6763424
851010588;38.75136;-9.20348;-0.160631;0.6763389
1026404074;38.75001;-9.206349;-0.1606811;0.6763153
1026404075;38.75032;-9.205235;-0.1606617;0.6763206
1026404076;38.74965;-9.2034;-0.1606296;0.676309
1026404887;38.75048;-9.206598;-0.1606854;0.6763235
1026405678;38.75222;-9.205835;-0.1606721;0.6763539
1026405817;38.75164;-9.206103;-0.1606768;0.6763437
1026406125;38.75047;-9.20295;-0.1606218;0.6763233
1026406128;38.75048;-9.20283;-0.1606197;0.6763235
1026408744;38.74933;-9.197912;-0.1605338;0.6763034
1026408750;38.74935;-9.198643;-0.1605466;0.6763037
1026408751;38.74944;-9.198878;-0.1605507;0.6763052
1026408754;38.74966;-9.198889;-0.1605509;0.6763091
1026408757;38.74976;-9.198782;-0.160549;0.676311
1026408761;38.74974;-9.197847;-0.1605327;0.6763105
1026408764;38.74977;-9.197785;-0.1605316;0.676311
1026408767;38.74975;-9.197551;-0.1605275;0.6763108
1026408920;38.74982;-9.197869;-0.1605331;0.6763119
1026408923;38.74985;-9.19863;-0.1605464;0.6763125
1026409136;38.75012;-9.197844;-0.1605327;0.6763172
1026409137;38.75033;-9.197824;-0.1605323;0.6763208
1026409138;38.75038;-9.198363;-0.1605417;0.6763217
1026409140;38.75016;-9.198385;-0.1605421;0.6763179
1026416175;38.75195;-9.205119;-0.1606596;0.6763491
1026416332;38.75235;-9.206452;-0.1606829;0.676356
1026416722;38.75254;-9.204851;-0.160655;0.6763594
1026417160;38.75385;-9.206226;-0.160679;0.6763822
1109852659;38.75166;-9.209776;-0.1607409;0.676344
1113775122;38.75214;-9.196559;-0.1605102;0.6763525
1113775125;38.75201;-9.196215;-0.1605042;0.6763502
1113775128;38.75377;-9.194956;-0.1604823;0.6763809
1583413547;38.7477;-9.20559;-0.1606679;0.676275
1583413548;38.74843;-9.205991;-0.1606749;0.6762877
1583413549;38.74805;-9.2074;-0.1606995;0.676281
1583413554;38.75066;-9.209973;-0.1607444;0.6763266
1583413555;38.75148;-9.206178;-0.1606781;0.676341
1583429074;38.74991;-9.205583;-0.1606677;0.6763136
1583429078;38.7497;-9.206303;-0.1606803;0.6763098
1583429124;38.74976;-9.206093;-0.1606766;0.6763109
1583429223;38.74983;-9.206457;-0.160683;0.6763121
1583429233;38.74968;-9.206382;-0.1606817;0.6763094
1666200275;38.74561;-9.19934;-0.1605588;0.6762384
1667036703;38.75058;-9.200809;-0.1605844;0.6763252
1667054700;38.75014;-9.201638;-0.1605989;0.6763176
1667054702;38.74931;-9.200746;-0.1605833;0.676303
1667054704;38.7494;-9.201092;-0.1605894;0.6763046
1667054717;38.74968;-9.202018;-0.1606055;0.6763094
1667054718;38.74946;-9.201303;-0.160593;0.6763057
1667054720;38.74957;-9.201651;-0.1605991;0.6763075
1667054721;38.74964;-9.201889;-0.1606033;0.6763088
1667054723;38.74972;-9.202158;-0.1606079;0.6763102
1667054724;38.75022;-9.201907;-0.1606036;0.6763189
1667070046;38.74958;-9.203311;-0.1606281;0.6763077
1667320605;38.74888;-9.20137;-0.1605942;0.6762956
1667320606;38.75033;-9.202271;-0.1606099;0.6763209
1667320607;38.75015;-9.201679;-0.1605996;0.6763178
1667320608;38.75037;-9.201902;-0.1606035;0.6763216
1667320609;38.75027;-9.20206;-0.1606062;0.6763197
1667320610;38.74984;-9.202518;-0.1606143;0.6763122
1667320611;38.75031;-9.2017;-0.1606;0.6763204
1667320612;38.75087;-9.201419;-0.1605951;0.6763303
1667320613;38.7491;-9.202302;-0.1606105;0.6762995
1667324883;38.74929;-9.203055;-0.1606236;0.6763027
1667324884;38.74935;-9.203027;-0.1606231;0.6763037
1667324885;38.74957;-9.202689;-0.1606172;0.6763076
1667324886;38.74997;-9.201053;-0.1605887;0.6763145
1667324887;38.74955;-9.201596;-0.1605981;0.6763072
1667324888;38.75005;-9.201345;-0.1605938;0.676316
1667324889;38.74963;-9.202889;-0.1606207;0.6763087
